roblox_username,discord_userid
Sloth,730642159731998774
bamlovespillow,1080039878340915222
BM_udhakds,916284120714321940
BM_Blast,1024266899745406986
BM_Wass,1207314080377868322
BM_N0M4D,886248052271243274
Ricardo_Lopez,1206280220244451398
Serial,712687735432806520
Jolan_Wassoi,862454269714497556
Medic,1037523727010758756
Nuclear_Pan,1384339714055733309
Pop_Cat,1339225790017044584
BM_Blade,1340294038141534258
Super_me,1395368732666101850
BM_Jukebox,838304838298501130
SiC_Yikticxx,960216225936441344
HAPPY_JACKIE,850315153371168789
rythm,235088799074484224
liggles,1230257377752776715
Josh,1387430937410932777
Nemo,1071193045405536406
SadToast,1286746300095922239
BM_Bean,1279396595615400038
Nameless,1286991372590645310
BM_Ares,1043953586419281962
BM_TheHunterZ,1336532801348178034
Sumire,1176083017727488074
BM_Factsterite,1328491518620602509
chet,421945760683130880
DLs,909323621753843723
BM_Butcher,1067685191491006505
ssaW_GITW,1187644569484013641
Pyzerest,969258491313270864
BM_exdendrin,898591162233925682
kitcat,1027917028188749904
EliteUnitBlue,928118038719500399
trainman673901,1225186115422650469
xXPandaXx,1328121397666512897
0pi,1373492996145680418
Delta1,1127930229877395517
BM_ApolloNotHere,1402336590331772929
Toki,1013447993225134121
MC Roh,668554548431814686
kiyotaka,1322902758705336331
GoldJackexe,1249023344762818596
ikea_7543,1072044680923066408
BMlocally_hazardous,944660291315175546
KING_Amper,1030937402040139856
4qorxALT,848933240723210241
LxYutzen_Jolan,1045290574816751616
CertifiedAmerican,940613177178198046
SecuritySeb,1037009866377678878
dem,869577555840213012
Tom,536771487902859264
feliciathegoat,1066612457403076648
robolayer1,1053615568944640080
KING_Doge,994823657996177458
samchaojack,761969683683213372
Taxolous,1301546487003746355
BC_nari,936237616217587722
Yumi,1130376651583266826
BM_Riyon,918313449656840202
Pixels,803113397213462588
BM_paopaolong9,1119627565389332501
BM_rayray,699706007084859453
Rakuzan,1307407352697192510
Poison,890391893136011285
BM_Jade,1030197648721969253
neo,1037359630097076225
Raverester,888429512226922526
BM_meep,827832454982402059
Phoenix,1089419461934727199
Utahime,1058715960057540728
BM_ilovepoland,1115566776625922149
Yoshuze,1281972980150440040
BM_Salvii,1331414587232223309
SiC_Wass,737030935996006450
Atanamir,1265122261778567219
BM_jacket,1393138671208759377
BM_Ace,1193555060047745056
Henrique,1250827450594754760
OSP_Wass,892785060858699786
ZenithNotFound,959788112526061599
OreGIO,430111748050124801
yio,835355123341066292
Bread,1177267159899062383
Winter,1274756794622677022
jawquin,860229774005239828
IJN_Wass,1360907063479242763
BM_swagalitousness,568495237060624398
BM_CaptainAlan,1150736270738333697
KING_einherjar,1003512383685263381
celt,1347099224982032395
AAAAAAAAAAAAAAAAAAAA,1260220495626899526
BM_ImWassFR,1107272000109559898
Optimus_Prime,1081314550307098694
Grim_Giggler,1158361006356041740
Amiel,1173275885189738558
nickjrtoday8,1232072960299368599
dyno,155149108183695360
Diavolo,876672504280780880
ITSCONCEPTFILM,1230130106719272980
TheCreCre,1222053149473505321
shuba,659193269942616076
BM_BL00DTH1RSTY,1255065022875304039
Nathan,719317545651404872
MangoonStar67,1032280115511558174
dead5546,616496814652129280
257dt,1004894229262237727
Capt_army1234,1392601923634598059
SSFs_wass,835759915673976853
QUEEN_Almtuyung,619909587138773023
BM_sigmaTharuka,1377297066904125450
Maru,656929866133929986
ONB_Walker,1144774850540478587
Serial,987621851666718750
bm_jazz,856792067103391744
NotKorian,1065567825726541884
BM_Zero,785729729537638401
hams3298,880834681644408892
North,798061986004205578
WPB_Jayboo,1256304028455932106
KomiNotSki,1415325803180331048
eeh,1051976566214766632
JSF_Pointy,478644410096156672
Myra,1118797271107121253
radspeed113,443217836983189504
franz,1101373183048818708
Dark1shade,1407609325840633877
Someone,1069050654624055326
Targec_ceo,1213715875648245773
ONB_Blitz,838567846933954600
Krist,1229826836771377255
BHC_Aether,911521189812391966
VeryUglyBlock,1372825829352144969
BM_Synth,871448305161338922
EPSON7070,1261309416439943230
theBAAAAAAAA,1151872484937834496
BM_Chilli,1185259702171484304
Zelethea,1048957953660690432
Princessunicorn5,1292977567350919279
APageofaBook,869503277518164018
Danilo,961414109805568120
ONB_Cop,757761563116568692
SLAYER_ItzzRoBdabest,1233310824735703106
Niko,1231281547907174463
Ruben,1363210423855218949
BM_Dinie,1094384328181551216
LeEpic,1311701546295361608
Plush VI,980960040418684958
BlueSeaDrive,1182466218565828611
BM_TYavaJ,570358869235073042
BM_John,1302542217654833223
Woofus,822625809390895114
Sakuya Izayoi,703494331675443250
Supah,1305119253560688701
BM_chromosome,745251768832884758
Nethy,748888893650239578
BaconLegend,1099952404809658448
BLackSCreeN,1152943177548955700
BM_Pirozed,1144069697483055154
edward4444444,1190039242202689659
MrUnknownPlqyer,1158191990253559858
Aisha,1113195071999840287
Leekarn,793414476660998164
BM_Calantha,1308774802168741929
daviny,1383174617505599498
Mochi,1297903462893490241
